O_1s_(2)_BE	O_1s_(2)_cps	O_1s_BE	O_1s_cps	C_1s_BE	C_1s_cps	N_1s_BE	N_1s_cps	Cl_2p_BE	Cl_2p_cps	Au_4f_BE	Au_4f_cps	Ba_3d_BE	Ba_3d_cps	overview_BE	overview_cps	
536.0	7014.125	560.0	7505.875	295.0	3992.0	405.0	7062.2656	204.0	3987.625	95.0	4545.0	784.0	8632.25	1200.0	12205
535.9	7028.0625	559.9	7507.875	294.9	3993.0625	404.9	7081.8594	203.9	3990.625	94.9	4497.5	783.9	8598.5	1199.0	12565
535.8	7027.9375	559.8	7482.5	294.8	4021.5	404.8	7057.1719	203.8	4016.75	94.8	4297.5	783.8	8588.375	1198.0	12305
535.7	7001.75	559.7	7518.75	294.7	3995.4375	404.7	7053.3281	203.7	3984.375	94.7	4466.25	783.7	8632.5	1197.0	11795
535.6	7006.8125	559.6	7508.75	294.6	3988.5625	404.6	7051.2188	203.6	4030.375	94.6	4462.5	783.6	8630.125	1196.0	12020
535.5	6997.375	559.5	7538.0	294.5	3989.25	404.5	7069.6563	203.5	3995.5	94.5	4393.75	783.5	8623.625	1195.0	11860
535.4	6988.2188	559.4	7477.125	294.4	3996.1875	404.4	7070.3906	203.4	4030.875	94.4	4435.0	783.4	8619.0	1194.0	11885
535.3	6998.3438	559.3	7463.625	294.3	4003.625	404.3	7034.75	203.3	3996.25	94.3	4462.5	783.3	8561.75	1193.0	11365
535.2	7000.0	559.2	7542.375	294.2	3966.375	404.2	7015.0781	203.2	4013.5	94.2	4448.75	783.2	8630.5	1192.0	11520
535.1	7036.7813	559.1	7490.25	294.1	4018.25	404.1	7059.9688	203.1	3976.0	94.1	4520.0	783.1	8557.625	1191.0	11900
535.0	7022.5	559.0	7474.875	294.0	4006.125	404.0	7084.8281	203.0	4003.0	94.0	4386.25	783.0	8643.625	1190.0	11620
534.9	7041.6563	558.9	7551.125	293.9	4015.3125	403.9	7080.7656	202.9	4025.125	93.9	4331.25	782.9	8584.875	1189.0	11630
534.8	7041.9688	558.8	7492.75	293.8	3990.875	403.8	7085.0313	202.8	3981.875	93.8	4461.25	782.8	8616.25	1188.0	11490
534.7	7094.5938	558.7	7517.0	293.7	4002.1875	403.7	7086.4375	202.7	4056.875	93.7	4462.5	782.7	8597.125	1187.0	11880
534.6	7070.4063	558.6	7519.25	293.6	4024.4375	403.6	7096.1719	202.6	4010.625	93.6	4480.0	782.6	8603.25	1186.0	11220
534.5	7100.625	558.5	7484.375	293.5	4023.5	403.5	7097.6563	202.5	4020.5	93.5	4457.5	782.5	8598.0	1185.0	11350
534.4	7104.9688	558.4	7506.125	293.4	4018.75	403.4	7087.625	202.4	4004.25	93.4	4551.25	782.4	8606.0	1184.0	11140
534.3	7130.7813	558.3	7556.625	293.3	3983.125	403.3	7101.2031	202.3	4003.75	93.3	4418.75	782.3	8581.875	1183.0	11345
534.2	7170.6875	558.2	7522.25	293.2	4009.625	403.2	7086.7188	202.2	3998.25	93.2	4570.0	782.2	8616.0	1182.0	11395
534.1	7180.9688	558.1	7562.625	293.1	4017.5	403.1	7097.5	202.1	4035.5	93.1	4490.0	782.1	8596.375	1181.0	11365
534.0	7197.8438	558.0	7509.25	293.0	4011.9375	403.0	7109.5625	202.0	4027.375	93.0	4397.5	782.0	8581.875	1180.0	11015
533.9	7210.6875	557.9	7525.5	292.9	4025.375	402.9	7119.2656	201.9	4048.0	92.9	4478.75	781.9	8578.25	1179.0	11225
533.8	7248.6875	557.8	7515.0	292.8	4005.3125	402.8	7100.4219	201.8	4034.0	92.8	4405.0	781.8	8606.125	1178.0	10940
533.7	7271.5	557.7	7532.0	292.7	4019.4375	402.7	7111.3594	201.7	4062.0	92.7	4398.75	781.7	8570.875	1177.0	10945
533.6	7301.5625	557.6	7513.125	292.6	4002.875	402.6	7116.5938	201.6	4027.25	92.6	4553.75	781.6	8643.125	1176.0	10840
533.5	7314.3438	557.5	7509.75	292.5	3997.875	402.5	7119.9844	201.5	4040.25	92.5	4603.75	781.5	8620.875	1175.0	10725
533.4	7307.9375	557.4	7523.0	292.4	3994.9375	402.4	7113.5313	201.4	4061.0	92.4	4582.5	781.4	8567.5	1174.0	10985
533.3	7331.5938	557.3	7562.375	292.3	4038.75	402.3	7113.9375	201.3	4062.5	92.3	4447.5	781.3	8596.75	1173.0	10920
533.2	7343.4063	557.2	7506.375	292.2	4025.5625	402.2	7127.5625	201.2	4048.125	92.2	4713.75	781.2	8666.0	1172.0	11085
533.1	7334.3438	557.1	7521.5	292.1	4007.5625	402.1	7137.5625	201.1	4017.5	92.1	4465.0	781.1	8638.0	1171.0	10875
533.0	7316.9688	557.0	7566.75	292.0	4026.125	402.0	7123.125	201.0	4017.625	92.0	4623.75	781.0	8620.25	1170.0	10605
532.9	7301.4688	556.9	7547.25	291.9	4035.875	401.9	7159.75	200.9	3998.125	91.9	4696.25	780.9	8636.75	1169.0	11070
532.8	7284.625	556.8	7514.875	291.8	4011.1875	401.8	7138.7031	200.8	4013.375	91.8	4615.0	780.8	8559.875	1168.0	10955
532.7	7232.6875	556.7	7602.625	291.7	4018.75	401.7	7151.3906	200.7	4057.75	91.7	4661.25	780.7	8601.375	1167.0	10520
532.6	7210.75	556.6	7573.625	291.6	4017.0	401.6	7154.0156	200.6	4033.375	91.6	4720.0	780.6	8635.875	1166.0	10780
532.5	7183.8125	556.5	7592.625	291.5	3960.3125	401.5	7152.8438	200.5	4055.875	91.5	4943.75	780.5	8579.125	1165.0	10760
532.4	7131.0625	556.4	7555.75	291.4	4028.75	401.4	7187.2969	200.4	4014.125	91.4	4821.25	780.4	8599.875	1164.0	10760
532.3	7067.5313	556.3	7549.625	291.3	4025.5	401.3	7178.9063	200.3	4056.0	91.3	4772.5	780.3	8560.125	1163.0	10610
532.2	7035.75	556.2	7543.875	291.2	4023.875	401.2	7171.9531	200.2	4052.0	91.2	4978.75	780.2	8529.25	1162.0	10410
532.1	6952.875	556.1	7525.375	291.1	4031.8125	401.1	7182.6875	200.1	3998.0	91.1	4866.25	780.1	8515.75	1161.0	10590
532.0	6970.4375	556.0	7532.0	291.0	3992.4375	401.0	7192.7656	200.0	4002.25	91.0	4882.5	780.0	8618.25	1160.0	10275
531.9	6916.4375	555.9	7532.375	290.9	4047.125	400.9	7196.8125	199.9	3996.75	90.9	4967.5	779.9	8583.375	1159.0	10160
531.8	6872.0313	555.8	7563.625	290.8	4030.6875	400.8	7178.75	199.8	4029.625	90.8	4968.75	779.8	8578.25	1158.0	10925
531.7	6849.0625	555.7	7533.125	290.7	4034.5	400.7	7186.2813	199.7	4048.25	90.7	5022.5	779.7	8549.25	1157.0	10450
531.6	6820.4375	555.6	7537.375	290.6	4029.0	400.6	7205.6719	199.6	4033.125	90.6	5133.75	779.6	8593.0	1156.0	10745
531.5	6789.0938	555.5	7612.5	290.5	4047.5	400.5	7224.5313	199.5	4035.375	90.5	5200.0	779.5	8572.625	1155.0	10405
531.4	6728.8125	555.4	7606.0	290.4	4053.5	400.4	7201.25	199.4	4051.25	90.4	5133.75	779.4	8569.75	1154.0	10020
531.3	6717.1563	555.3	7541.25	290.3	4046.8125	400.3	7210.7656	199.3	4008.5	90.3	5328.75	779.3	8537.625	1153.0	10670
531.2	6713.7188	555.2	7570.25	290.2	4067.4375	400.2	7181.4844	199.2	4017.375	90.2	5308.75	779.2	8576.75	1152.0	10625
531.1	6693.2813	555.1	7557.0	290.1	4081.0	400.1	7194.2344	199.1	4055.75	90.1	5415.0	779.1	8547.5	1151.0	10150
531.0	6673.7813	555.0	7581.875	290.0	4029.8125	400.0	7201.9219	199.0	4020.375	90.0	5486.25	779.0	8567.875	1150.0	10445
530.9	6670.0938	554.9	7571.5	289.9	4039.125	399.9	7219.7344	198.9	4085.875	89.9	5676.25	778.9	8565.875	1149.0	10200
530.8	6664.7188	554.8	7596.375	289.8	4063.9375	399.8	7218.0469	198.8	4062.25	89.8	6041.25	778.8	8569.875	1148.0	9765
530.7	6643.3125	554.7	7559.75	289.7	4072.625	399.7	7214.9375	198.7	3993.0	89.7	6132.5	778.7	8534.875	1147.0	10310
530.6	6631.0	554.6	7606.25	289.6	4060.875	399.6	7194.2969	198.6	4029.875	89.6	6427.5	778.6	8568.75	1146.0	10170
530.5	6637.1563	554.5	7620.125	289.5	4072.1875	399.5	7215.3438	198.5	4033.125	89.5	6771.25	778.5	8573.125	1145.0	10120
530.4	6620.4063	554.4	7587.375	289.4	4046.75	399.4	7213.9375	198.4	4029.75	89.4	7400.0	778.4	8604.875	1144.0	10010
530.3	6637.875	554.3	7600.375	289.3	4093.3125	399.3	7200.2969	198.3	4073.0	89.3	7758.75	778.3	8594.5	1143.0	10170
530.2	6633.5	554.2	7626.625	289.2	4070.125	399.2	7230.9063	198.2	4014.875	89.2	8307.5	778.2	8566.625	1142.0	10290
530.1	6631.6875	554.1	7629.0	289.1	4077.0	399.1	7217.1406	198.1	4060.5	89.1	8930.0	778.1	8555.5	1141.0	10240
530.0	6594.9688	554.0	7625.25	289.0	4043.625	399.0	7226.9688	198.0	4061.25	89.0	9848.75	778.0	8590.25	1140.0	10040
NaN	NaN	553.9	7639.625	288.9	4051.4375	398.9	7214.9063	197.9	4014.125	88.9	10535.0	777.9	8559.5	1139.0	10080
NaN	NaN	553.8	7673.875	288.8	4099.25	398.8	7203.3281	197.8	4074.75	88.8	11705.0	777.8	8568.875	1138.0	9625
NaN	NaN	553.7	7678.375	288.7	4072.375	398.7	7196.7969	197.7	4021.5	88.7	12435.0	777.7	8501.5	1137.0	9785
NaN	NaN	553.6	7636.375	288.6	4094.9375	398.6	7193.375	197.6	4036.875	88.6	13200.0	777.6	8507.0	1136.0	9860
NaN	NaN	553.5	7677.5	288.5	4119.875	398.5	7204.8125	197.5	4045.5	88.5	14458.75	777.5	8510.625	1135.0	9665
NaN	NaN	553.4	7693.25	288.4	4134.625	398.4	7207.6875	197.4	4018.25	88.4	15622.5	777.4	8539.125	1134.0	9500
NaN	NaN	553.3	7668.125	288.3	4121.375	398.3	7187.4688	197.3	4072.625	88.3	16372.5	777.3	8536.125	1133.0	10200
NaN	NaN	553.2	7647.875	288.2	4162.5	398.2	7185.9531	197.2	4062.625	88.2	17057.5	777.2	8498.0	1132.0	9525
NaN	NaN	553.1	7680.875	288.1	4165.1875	398.1	7176.7188	197.1	4019.25	88.1	17477.5	777.1	8470.625	1131.0	9795
NaN	NaN	553.0	7761.25	288.0	4174.75	398.0	7182.7813	197.0	4056.125	88.0	17885.0	777.0	8558.625	1130.0	9565
NaN	NaN	552.9	7691.75	287.9	4203.375	397.9	7198.6875	196.9	4052.5	87.9	18032.5	776.9	8607.875	1129.0	9680
NaN	NaN	552.8	7744.625	287.8	4218.9375	397.8	7185.4375	196.8	4041.5	87.8	17986.25	776.8	8530.375	1128.0	9935
NaN	NaN	552.7	7712.25	287.7	4213.0625	397.7	7164.5	196.7	4054.25	87.7	17618.75	776.7	8579.0	1127.0	10010
NaN	NaN	552.6	7763.625	287.6	4248.875	397.6	7184.0625	196.6	4019.75	87.6	16702.5	776.6	8546.875	1126.0	9705
NaN	NaN	552.5	7797.625	287.5	4287.8125	397.5	7167.3594	196.5	4049.125	87.5	15852.5	776.5	8534.0	1125.0	9635
NaN	NaN	552.4	7873.75	287.4	4292.5	397.4	7159.5156	196.4	4053.5	87.4	14848.75	776.4	8562.75	1124.0	9420
NaN	NaN	552.3	7733.5	287.3	4337.8125	397.3	7164.6406	196.3	4054.5	87.3	13797.5	776.3	8531.0	1123.0	9570
NaN	NaN	552.2	7844.25	287.2	4359.4375	397.2	7161.6875	196.2	4036.875	87.2	12588.75	776.2	8541.5	1122.0	9305
NaN	NaN	552.1	7858.25	287.1	4340.8125	397.1	7178.8438	196.1	4006.25	87.1	11716.25	776.1	8558.5	1121.0	9295
NaN	NaN	552.0	7898.625	287.0	4417.4375	397.0	7191.5469	196.0	4026.25	87.0	10610.0	776.0	8499.875	1120.0	9330
NaN	NaN	551.9	7855.25	286.9	4416.125	396.9	7163.75	195.9	4045.375	86.9	9451.25	NaN	NaN	1119.0	9420
NaN	NaN	551.8	7898.125	286.8	4443.8125	396.8	7167.2969	195.8	4051.875	86.8	8618.75	NaN	NaN	1118.0	9560
NaN	NaN	551.7	7939.625	286.7	4474.0	396.7	7181.5	195.7	4043.125	86.7	7950.0	NaN	NaN	1117.0	9490
NaN	NaN	551.6	7866.875	286.6	4439.6875	396.6	7114.6719	195.6	4051.625	86.6	7500.0	NaN	NaN	1116.0	9445
NaN	NaN	551.5	8030.75	286.5	4502.25	396.5	7164.7813	195.5	4078.375	86.5	7067.5	NaN	NaN	1115.0	9140
NaN	NaN	551.4	7966.875	286.4	4492.5625	396.4	7164.9063	195.4	4065.625	86.4	6690.0	NaN	NaN	1114.0	9385
NaN	NaN	551.3	8024.375	286.3	4557.75	396.3	7146.1563	195.3	4022.0	86.3	6432.5	NaN	NaN	1113.0	9220
NaN	NaN	551.2	8052.375	286.2	4541.0625	396.2	7172.8281	195.2	4085.125	86.2	6602.5	NaN	NaN	1112.0	9355
NaN	NaN	551.1	8026.5	286.1	4517.875	396.1	7171.2656	195.1	4047.625	86.1	6621.25	NaN	NaN	1111.0	9120
NaN	NaN	551.0	8079.875	286.0	4571.875	396.0	7182.2813	195.0	4073.25	86.0	6837.5	NaN	NaN	1110.0	9360
NaN	NaN	550.9	8040.875	285.9	4566.3125	395.9	7165.0469	NaN	NaN	85.9	7021.25	NaN	NaN	1109.0	9670
NaN	NaN	550.8	8103.375	285.8	4583.375	395.8	7178.9688	NaN	NaN	85.8	7345.0	NaN	NaN	1108.0	9290
NaN	NaN	550.7	8110.375	285.7	4619.5625	395.7	7161.4219	NaN	NaN	85.7	7851.25	NaN	NaN	1107.0	9330
NaN	NaN	550.6	8191.25	285.6	4592.625	395.6	7176.4219	NaN	NaN	85.6	8497.5	NaN	NaN	1106.0	9015
NaN	NaN	550.5	8174.75	285.5	4644.125	395.5	7194.4219	NaN	NaN	85.5	8973.75	NaN	NaN	1105.0	9030
NaN	NaN	550.4	8264.625	285.4	4635.375	395.4	7162.0938	NaN	NaN	85.4	9807.5	NaN	NaN	1104.0	8845
NaN	NaN	550.3	8266.5	285.3	4614.0	395.3	7174.1875	NaN	NaN	85.3	10867.5	NaN	NaN	1103.0	9070
NaN	NaN	550.2	8319.375	285.2	4668.625	395.2	7156.5469	NaN	NaN	85.2	12032.5	NaN	NaN	1102.0	9395
NaN	NaN	550.1	8350.875	285.1	4618.5	395.1	7167.7031	NaN	NaN	85.1	12916.25	NaN	NaN	1101.0	9105
NaN	NaN	550.0	8331.25	285.0	4618.0	395.0	7201.4531	NaN	NaN	85.0	14515.0	NaN	NaN	1100.0	9370
NaN	NaN	549.9	8434.0	284.9	4619.1875	NaN	NaN	NaN	NaN	84.9	15252.5	NaN	NaN	1099.0	8895
NaN	NaN	549.8	8469.75	284.8	4609.125	NaN	NaN	NaN	NaN	84.8	16937.5	NaN	NaN	1098.0	8895
NaN	NaN	549.7	8504.0	284.7	4590.9375	NaN	NaN	NaN	NaN	84.7	17847.5	NaN	NaN	1097.0	8965
NaN	NaN	549.6	8519.375	284.6	4566.1875	NaN	NaN	NaN	NaN	84.6	19020.0	NaN	NaN	1096.0	8755
NaN	NaN	549.5	8547.375	284.5	4562.6875	NaN	NaN	NaN	NaN	84.5	19868.75	NaN	NaN	1095.0	9280
NaN	NaN	549.4	8606.875	284.4	4487.9375	NaN	NaN	NaN	NaN	84.4	20635.0	NaN	NaN	1094.0	8475
NaN	NaN	549.3	8643.75	284.3	4496.1875	NaN	NaN	NaN	NaN	84.3	20903.75	NaN	NaN	1093.0	8495
NaN	NaN	549.2	8739.875	284.2	4439.6875	NaN	NaN	NaN	NaN	84.2	20735.0	NaN	NaN	1092.0	8870
NaN	NaN	549.1	8848.375	284.1	4413.5625	NaN	NaN	NaN	NaN	84.1	20573.75	NaN	NaN	1091.0	8630
NaN	NaN	549.0	8770.25	284.0	4400.5	NaN	NaN	NaN	NaN	84.0	19833.75	NaN	NaN	1090.0	9100
NaN	NaN	548.9	8813.125	283.9	4349.8125	NaN	NaN	NaN	NaN	83.9	18715.0	NaN	NaN	1089.0	8835
NaN	NaN	548.8	8933.0	283.8	4311.875	NaN	NaN	NaN	NaN	83.8	17562.5	NaN	NaN	1088.0	8440
NaN	NaN	548.7	8973.0	283.7	4245.375	NaN	NaN	NaN	NaN	83.7	16152.5	NaN	NaN	1087.0	8985
NaN	NaN	548.6	8974.0	283.6	4233.75	NaN	NaN	NaN	NaN	83.6	14585.0	NaN	NaN	1086.0	8800
NaN	NaN	548.5	9035.25	283.5	4207.5	NaN	NaN	NaN	NaN	83.5	12773.75	NaN	NaN	1085.0	8770
NaN	NaN	548.4	9130.0	283.4	4139.3125	NaN	NaN	NaN	NaN	83.4	11567.5	NaN	NaN	1084.0	8485
NaN	NaN	548.3	9169.0	283.3	4173.375	NaN	NaN	NaN	NaN	83.3	10116.25	NaN	NaN	1083.0	8620
NaN	NaN	548.2	9210.25	283.2	4122.5625	NaN	NaN	NaN	NaN	83.2	8865.0	NaN	NaN	1082.0	8200
NaN	NaN	548.1	9311.75	283.1	4087.1875	NaN	NaN	NaN	NaN	83.1	7718.75	NaN	NaN	1081.0	8640
NaN	NaN	548.0	9308.625	283.0	4129.875	NaN	NaN	NaN	NaN	83.0	6798.75	NaN	NaN	1080.0	8250
NaN	NaN	547.9	9381.25	282.9	4060.4375	NaN	NaN	NaN	NaN	82.9	5991.25	NaN	NaN	1079.0	8600
NaN	NaN	547.8	9413.0	282.8	4078.75	NaN	NaN	NaN	NaN	82.8	5373.75	NaN	NaN	1078.0	8435
NaN	NaN	547.7	9494.875	282.7	4017.9375	NaN	NaN	NaN	NaN	82.7	5051.25	NaN	NaN	1077.0	8545
NaN	NaN	547.6	9560.625	282.6	4047.125	NaN	NaN	NaN	NaN	82.6	4555.0	NaN	NaN	1076.0	7855
NaN	NaN	547.5	9538.875	282.5	4039.875	NaN	NaN	NaN	NaN	82.5	4196.25	NaN	NaN	1075.0	8895
NaN	NaN	547.4	9643.75	282.4	4040.8125	NaN	NaN	NaN	NaN	82.4	4046.25	NaN	NaN	1074.0	8420
NaN	NaN	547.3	9633.375	282.3	3993.9375	NaN	NaN	NaN	NaN	82.3	4030.0	NaN	NaN	1073.0	7875
NaN	NaN	547.2	9702.25	282.2	4008.3125	NaN	NaN	NaN	NaN	82.2	3670.0	NaN	NaN	1072.0	8520
NaN	NaN	547.1	9762.375	282.1	4041.0	NaN	NaN	NaN	NaN	82.1	3683.75	NaN	NaN	1071.0	8680
NaN	NaN	547.0	9715.875	282.0	4013.0625	NaN	NaN	NaN	NaN	82.0	3567.5	NaN	NaN	1070.0	8290
NaN	NaN	546.9	9746.0	281.9	4002.3125	NaN	NaN	NaN	NaN	81.9	3381.25	NaN	NaN	1069.0	8255
NaN	NaN	546.8	9754.5	281.8	4008.375	NaN	NaN	NaN	NaN	81.8	3341.25	NaN	NaN	1068.0	8265
NaN	NaN	546.7	9753.375	281.7	3975.125	NaN	NaN	NaN	NaN	81.7	3161.25	NaN	NaN	1067.0	7975
NaN	NaN	546.6	9731.125	281.6	4014.4375	NaN	NaN	NaN	NaN	81.6	3095.0	NaN	NaN	1066.0	8165
NaN	NaN	546.5	9684.375	281.5	4000.625	NaN	NaN	NaN	NaN	81.5	3031.25	NaN	NaN	1065.0	8375
NaN	NaN	546.4	9706.375	281.4	3957.375	NaN	NaN	NaN	NaN	81.4	3000.0	NaN	NaN	1064.0	8300
NaN	NaN	546.3	9670.5	281.3	4010.8125	NaN	NaN	NaN	NaN	81.3	3088.75	NaN	NaN	1063.0	8135
NaN	NaN	546.2	9667.625	281.2	4011.6875	NaN	NaN	NaN	NaN	81.2	2955.0	NaN	NaN	1062.0	8385
